Frequency,CPIHOSNS
1991-02-01,132.4
1991-03-01,132.6
1991-04-01,132.5
1991-05-01,132.8
1991-06-01,133.4
1991-07-01,134.2
1991-08-01,134.5
1991-09-01,134.7
1991-10-01,134.7
1991-11-01,134.7
1991-12-01,135.0
1992-01-01,135.7
1992-02-01,136.1
1992-03-01,136.6
1992-04-01,136.5
1992-05-01,136.7
1992-06-01,137.7
1992-07-01,138.3
1992-08-01,138.6
1992-09-01,138.4
1992-10-01,138.5
1992-11-01,138.5
1992-12-01,138.5
1993-01-01,139.3
1993-02-01,139.7
1993-03-01,140.2
1993-04-01,140.4
1993-05-01,140.5
1993-06-01,141.5
1993-07-01,141.9
1993-08-01,142.3
1993-09-01,142.3
1993-10-01,142.2
1993-11-01,142.0
1993-12-01,142.3
1994-01-01,142.9
1994-02-01,143.7
1994-03-01,144.1
1994-04-01,143.9
1994-05-01,144.1
1994-06-01,144.9
1994-07-01,145.4
1994-08-01,145.9
1994-09-01,145.8
1994-10-01,145.7
1994-11-01,145.5
1994-12-01,145.4
1995-01-01,146.4
1995-02-01,147.0
1995-03-01,147.4
1995-04-01,147.4
1995-05-01,147.6
1995-06-01,148.5
1995-07-01,149.2
1995-08-01,149.6
1995-09-01,149.5
1995-10-01,149.7
1995-11-01,149.4
1995-12-01,149.7
1996-01-01,150.6
1996-02-01,151.2
1996-03-01,151.7
1996-04-01,151.8
1996-05-01,152.0
1996-06-01,152.7
1996-07-01,153.6
1996-08-01,154.0
1996-09-01,153.9
1996-10-01,154.0
1996-11-01,153.9
1996-12-01,154.0
1997-01-01,155.1
1997-02-01,155.8
1997-03-01,155.9
1997-04-01,155.8
1997-05-01,155.9
1997-06-01,156.9
1997-07-01,157.5
1997-08-01,157.6
1997-09-01,157.7
1997-10-01,157.7
1997-11-01,157.7
1997-12-01,157.7
1998-01-01,158.3
1998-02-01,158.8
1998-03-01,159.2
1998-04-01,159.5
1998-05-01,159.7
1998-06-01,160.6
1998-07-01,161.2
1998-08-01,161.5
1998-09-01,161.5
1998-10-01,161.4
1998-11-01,161.3
1998-12-01,161.3
1999-01-01,161.8
1999-02-01,162.3
1999-03-01,162.8
1999-04-01,163.0
1999-05-01,163.0
1999-06-01,164.1
1999-07-01,164.7
1999-08-01,165.0
1999-09-01,165.2
1999-10-01,165.0
1999-11-01,164.9
1999-12-01,164.8
2000-01-01,166.0
2000-02-01,167.1
2000-03-01,167.8
2000-04-01,167.9
2000-05-01,168.1
2000-06-01,169.6
2000-07-01,170.6
2000-08-01,170.9
2000-09-01,171.4
2000-10-01,171.7
2000-11-01,171.6
2000-12-01,171.9
2001-01-01,174.1
2001-02-01,174.7
2001-03-01,175.4
2001-04-01,175.4
2001-05-01,175.9
2001-06-01,177.3
2001-07-01,177.6
2001-08-01,178.0
2001-09-01,177.4
2001-10-01,176.7
2001-11-01,176.9
2001-12-01,176.9
2002-01-01,177.6
2002-02-01,178.5
2002-03-01,179.1
2002-04-01,179.5
2002-05-01,179.7
2002-06-01,180.7
2002-07-01,181.2
2002-08-01,181.7
2002-09-01,181.5
2002-10-01,181.4
2002-11-01,181.2
2002-12-01,181.1
2003-01-01,182.3
2003-02-01,183.2
2003-03-01,184.3
2003-04-01,184.1
2003-05-01,184.5
2003-06-01,185.3
2003-07-01,185.9
2003-08-01,186.1
2003-09-01,185.8
2003-10-01,185.7
2003-11-01,185.1
2003-12-01,185.1
2004-01-01,186.3
2004-02-01,187.0
2004-03-01,187.9
2004-04-01,188.4
2004-05-01,188.9
2004-06-01,190.3
2004-07-01,190.9
2004-08-01,191.2
2004-09-01,191.0
2004-10-01,191.0
2004-11-01,190.8
2004-12-01,190.7
2005-01-01,191.8
2005-02-01,192.7
2005-03-01,194.1
2005-04-01,194.4
2005-05-01,194.5
2005-06-01,195.5
2005-07-01,196.6
2005-08-01,196.9
2005-09-01,197.0
2005-10-01,198.4
2005-11-01,198.5
2005-12-01,198.3
2006-01-01,200.0
2006-02-01,200.5
2006-03-01,201.3
2006-04-01,201.7
2006-05-01,202.2
2006-06-01,203.7
2006-07-01,204.7
2006-08-01,205.1
2006-09-01,205.0
2006-10-01,204.4
2006-11-01,204.5
2006-12-01,204.8
2007-01-01,206.057
2007-02-01,207.177
2007-03-01,208.08
2007-04-01,208.541
2007-05-01,208.902
2007-06-01,210.649
2007-07-01,211.286
2007-08-01,211.098
2007-09-01,210.865
2007-10-01,210.701
2007-11-01,210.745
2007-12-01,210.933
2008-01-01,212.244
2008-02-01,213.026
2008-03-01,214.389
2008-04-01,214.89
2008-05-01,215.809
2008-06-01,217.941
2008-07-01,219.61
2008-08-01,219.148
2008-09-01,218.184
2008-10-01,217.383
2008-11-01,216.467
2008-12-01,216.073
2009-01-01,216.928
2009-02-01,217.18
2009-03-01,217.374
2009-04-01,217.126
2009-05-01,216.971
2009-06-01,218.071
2009-07-01,218.085
2009-08-01,217.827
2009-09-01,217.178
2009-10-01,216.612
2009-11-01,215.808
2009-12-01,215.523
2010-01-01,215.925
2010-02-01,215.841
2010-03-01,216.023
2010-04-01,215.798
2010-05-01,215.981
2010-06-01,216.778
2010-07-01,217.076
2010-08-01,216.976
2010-09-01,216.602
2010-10-01,216.1
2010-11-01,215.83
2010-12-01,216.142
2011-01-01,216.739
2011-02-01,217.259
2011-03-01,217.707
2011-04-01,217.901
2011-05-01,218.484
2011-06-01,219.553
2011-07-01,220.23
2011-08-01,220.506
2011-09-01,220.54
2011-10-01,220.138
2011-11-01,219.969
2011-12-01,220.193
2012-01-01,220.805
2012-02-01,221.117
2012-03-01,221.487
2012-04-01,221.682
2012-05-01,221.971
2012-06-01,223.051
2012-07-01,223.316
2012-08-01,223.699
2012-09-01,223.901
2012-10-01,223.708
2012-11-01,223.814
2012-12-01,224.032
2013-01-01,224.79
2013-02-01,225.382
2013-03-01,225.643
2013-04-01,225.986
2013-05-01,226.896
2013-06-01,228.068
2013-07-01,228.374
2013-08-01,228.564
2013-09-01,228.808
2013-10-01,228.362
2013-11-01,228.449
2013-12-01,228.892
2014-01-01,230.256
2014-02-01,230.905
2014-03-01,231.968
2014-04-01,231.689
2014-05-01,232.744
2014-06-01,233.894
2014-07-01,234.475
2014-08-01,234.571
2014-09-01,234.675
2014-10-01,234.434
2014-11-01,234.315
2014-12-01,234.658
2015-01-01,235.485
2015-02-01,236.016
2015-03-01,236.435
2015-04-01,236.777
2015-05-01,237.175
2015-06-01,238.568
2015-07-01,239.085
